Id,Name,Latitude,Longitude,Code,GmCode,Province,ProvinceId,ProvinceCode
1027,Aa en Hunze,NULL,NULL,1680,GM1680,Drenthe,22,PV22
1028,Aalsmeer,NULL,NULL,0358,GM0358,Noord-Holland,27,PV27
1029,Aalten,NULL,NULL,0197,GM0197,Gelderland,25,PV25
1030,Achtkarspelen,NULL,NULL,0059,GM0059,Friesland,21,PV21
1031,Alblasserdam,NULL,NULL,0482,GM0482,Zuid-Holland,28,PV28
1032,Albrandswaard,NULL,NULL,0613,GM0613,Zuid-Holland,28,PV28
1033,Alkmaar,NULL,NULL,0361,GM0361,Noord-Holland,27,PV27
1034,Almelo,NULL,NULL,0141,GM0141,Overijssel,23,PV23
1035,Almere,NULL,NULL,0034,GM0034,Flevoland,24,PV24
1036,Alphen aan den Rijn,NULL,NULL,0484,GM0484,Zuid-Holland,28,PV28
1037,Alphen-Chaam,NULL,NULL,1723,GM1723,Noord-Brabant,30,PV30
1038,Altena,NULL,NULL,1959,GM1959,Noord-Brabant,30,PV30
1039,Ameland,NULL,NULL,0060,GM0060,Friesland,21,PV21
1040,Amersfoort,NULL,NULL,0307,GM0307,Utrecht,26,PV26
1041,Amstelveen,NULL,NULL,0362,GM0362,Noord-Holland,27,PV27
1042,Amsterdam,NULL,NULL,0363,GM0363,Noord-Holland,27,PV27
1043,Apeldoorn,NULL,NULL,0200,GM0200,Gelderland,25,PV25
1044,Arnhem,NULL,NULL,0202,GM0202,Gelderland,25,PV25
1045,Assen,NULL,NULL,0106,GM0106,Drenthe,22,PV22
1046,Asten,NULL,NULL,0743,GM0743,Noord-Brabant,30,PV30
1047,Baarle-Nassau,NULL,NULL,0744,GM0744,Noord-Brabant,30,PV30
1048,Baarn,NULL,NULL,0308,GM0308,Utrecht,26,PV26
1049,Barendrecht,NULL,NULL,0489,GM0489,Zuid-Holland,28,PV28
1050,Barneveld,NULL,NULL,0203,GM0203,Gelderland,25,PV25
